adaptation,avg_isi,f_i_curve_slope,fast_trough_t_long_square,fast_trough_t_ramp,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_v_ramp,fast_trough_v_short_square,input_resistance_mohm,latency,peak_t_long_square,peak_t_ramp,peak_t_short_square,peak_v_long_square,peak_v_ramp,peak_v_short_square,ri,sag,slow_trough_t_long_square,slow_trough_t_ramp,slow_trough_t_short_square,slow_trough_v_long_square,slow_trough_v_ramp,slow_trough_v_short_square,tau,threshold_i_long_square,threshold_i_ramp,threshold_i_short_square,threshold_t_long_square,threshold_t_ramp,threshold_t_short_square,threshold_v_long_square,threshold_v_ramp,threshold_v_short_square,trough_t_long_square,trough_t_ramp,trough_t_short_square,trough_v_long_square,trough_v_ramp,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,vrest,average_bifurcation_angle_local,average_contraction,average_diameter,average_fragmentation,average_parent_daughter_ratio,max_branch_order,max_euclidean_distance,max_path_distance,number_bifurcations,number_branches,number_nodes,number_stems,number_tips,overall_depth,overall_height,overall_width,soma_surface,total_length,total_surface,total_volume
0.0196805376414111,33.3606896551724,0.413287311572047,0.08444000000000007,1.58072,0.02472999999999992,-48.03125,-48.3593769073486,-50.5000019073486,499.877376,0.0191600000000001,0.08309999999999995,1.57925,0.02336500000000008,46.75,47.375,47.9843769073486,162.500187754631,0.0427110940217972,0.09630000000000005,1.5983299999999998,0.4515936906307978,-47.625,-50.4687519073486,-73.71359881867184,8.05834428889918,50.0,38.9375,330.0,0.0827,1.57884,0.0229950000000001,-40.125,-37.578125,-44.5703125,0.08475999999999995,1.5983299999999998,0.755285,-48.25,-50.4687519073486,-75.3593807220459,3.22415025248624,3.19780208994605,3.26901656825606,-73.9775772094727,64.7305919186411,0.918694058007892,0.388894030383493,65.1818181818182,0.966534717391692,4.0,276.559511081377,323.119076749636,11,26,1627,4,15,97.3297,527.473429228357,332.966473617431,119.211610125213,1897.38495920535,2318.60781670038,234.387814820134
0.150681930304697,117.956666666667,0.104545458766492,0.1222399999999999,6.15920666666667,0.02543800000000007,-45.03125,-41.3750025431315,-49.5562522888184,116.090224,0.0597750000000001,0.11816000000000004,6.156975,0.02360399999999996,22.0312519073486,25.5937506357829,23.9500007629395,128.90625,0.0993512868881226,0.15761000000000003,6.18826833333333,0.6324209999999999,-53.71875,-52.3750025431315,-74.5125,26.281992749586,130.0,153.416666666667,1280.0,0.11763999999999997,6.15642833333333,0.023160999999999987,-34.4062538146973,-30.5312506357829,-46.1750015258789,0.15761000000000003,6.18826833333333,0.6324209999999999,-53.71875,-52.3750025431315,-74.5125,2.89373239203779,2.50741632176071,3.00245718782352,-73.020378112793,68.8880419310114,0.862172760980114,0.295607360583008,62.1704545454545,0.837475969790773,11.0,601.824711312771,655.270261330801,44,97,5567,9,53,165.7706,729.946489260578,356.342110498443,334.686468881449,5953.05890523869,5559.34373123286,447.702943030047
0.0006534529406824,10.0755102040816,0.700814037360133,0.06591999999999998,13.7261733333333,0.02387399999999995,-59.0625038146973,-53.2500025431315,-60.6281284332275,135.421472,0.01098,0.06519999999999992,13.72544,0.023293999999999926,8.0,16.760417620341,26.5187511444092,68.9061731100082,0.0094313696026802,0.2772660925925927,4.287590777076763,0.4515936906307978,-52.96308082297998,-53.67481353571236,-73.71359881867184,6.89508215928344,420.0,342.708333333333,750.0,0.06485999999999992,13.72508,0.02301400000000009,-33.3750038146973,-29.6770839691162,-44.0781261444092,0.06597999999999993,13.7262333333333,0.3947240000000001,-59.1875,-53.3333358764648,-71.5781265258789,1.01431042509721,1.16373448263131,1.28097472853639,-71.0417861938477,80.8732150492533,0.863155006129062,0.280545050149443,46.6315789473684,0.994892141775413,4.0,207.562591256638,218.18864414567,19,45,1876,7,26,79.5245,273.74852621608,213.02407744133,135.155268607605,2206.17082191051,1940.73747539807,142.837916707047
-0.0075643044422064,61.9466666666667,0.246698121237728,0.4698,5.058,0.02668399999999993,-52.3750038146973,-54.8437538146973,-56.7875022888184,218.541648,0.0674400000000002,0.46624,5.0539,0.023568000000000033,28.9062519073486,29.8125019073486,28.2562511444092,164.687424898148,0.0534089393913746,0.4751399999999999,5.0627,0.4515936906307978,-55.34375,-57.4062538146973,-73.71359881867184,8.88517345182125,130.0,125.875007629395,540.0,0.4657800000000001,5.05346,0.02320000000000011,-34.4062538146973,-34.84375,-39.7562515258789,0.4751399999999999,5.0627,0.1694040000000001,-55.34375,-57.4062538146973,-70.2687545776367,4.15217658528556,4.39031869193034,2.73480251179114,-68.6798858642578,75.7304220299529,0.871109781730974,0.517695432609123,30.046875,1.0,5.0,140.815991019486,155.565728356203,32,70,1972,6,38,69.2779,252.538751948496,149.746149900964,389.142800651423,2328.10648100371,3787.11161505485,514.88395406068
5.60105054280114e-05,14.1640740740741,0.966641394996209,1.01024,9.3074466666667,0.02424666666667008,-54.3437538146973,-53.9895858764648,-60.0416704813639,193.789488,0.22246,1.00922,9.3064733333333,0.023413333333329955,8.71875,11.5208342870077,25.4583339691162,128.281280398369,0.0268130376935005,0.2772660925925927,4.287590777076763,0.4515936906307978,-52.96308082297998,-53.67481353571236,-73.71359881867184,12.877470225083,260.0,232.124994913737,560.0,1.0087199999999998,9.3060666666667,0.0230999999999999,-31.4687519073486,-29.7083339691162,-44.4687525431315,1.0103399999999998,9.30754,0.22217333333333,-54.5000038146973,-54.0520858764648,-75.0104217529297,1.10794352433869,1.14044697291495,1.47543553871982,-73.6750793457031,70.896952627783,0.891653058024548,0.165568486703988,48.7647058823529,0.997646144704968,3.0,152.347197087541,182.04866500372,17,40,1762,6,23,60.6024,259.894148393855,245.696620137957,55.711515613962,2083.43782436505,1083.60281641434,44.0188153918598
0.0124640752031961,25.271052631579,1.06832411171162,0.0500799999999999,8.65876,0.02438000000000007,-53.8125038146973,-49.7500025431315,-54.3437538146973,168.996736,0.0167200000000001,0.04932000000000003,8.65779333333333,0.023679999999999923,24.5937519073486,16.5312506357829,30.7187519073486,115.625001490116,0.0207452178001404,0.2772660925925927,4.287590777076763,0.4515936906307978,-52.96308082297998,-53.67481353571236,-73.71359881867184,7.29639456375276,230.0,215.916666666667,600.0,0.049020000000000064,8.65741333333333,0.023360000000000047,-36.6562538146973,-32.1875012715658,-50.4375038146973,0.05011999999999994,8.65946666666667,0.47642000000000007,-53.84375,-50.0208358764648,-78.3437576293945,1.53544150115709,1.38404937306994,1.55331763159788,-77.7563400268555,81.1546325591154,0.85842269581326,0.577534086145947,43.75,0.997441242172938,6.0,170.343666801587,186.677949511988,22,53,2116,9,31,75.756,257.435824342544,201.512335084239,333.025404137787,2433.13864291155,4413.05958949941,644.348239138419
0.0052336532165381,75.995,0.146984914304428,0.43667999999999996,4.34988666666667,0.025800000000000045,-56.8437538146973,-55.8020858764648,-55.6250028610229,152.59832,0.0279800000000001,0.4315199999999999,4.34509333333333,0.023234999999999895,23.2812519073486,30.2500012715658,33.0156259536743,193.74980032444,0.0741111785173416,0.44384,4.35789333333333,0.4515936906307978,-60.0000038146973,-60.1770871480306,-73.71359881867184,11.772342992561,120.0,108.125,469.999969482422,0.43106,4.34465333333333,0.022909999999999986,-37.5937538146973,-38.0520846048991,-41.8593759536743,0.44384,4.35789333333333,0.04044000000000003,-60.0000038146973,-60.1770871480306,-67.9375019073486,3.75311902220082,3.82784976389352,3.15769759386988,-66.1830749511719,88.26639733544,0.906748721074949,0.482911467838715,18.275,0.982928619281528,6.0,102.777150737311,113.593943609483,40,85,1514,5,45,43.12,147.423963166403,174.45472011687,153.243706259621,1774.80733726953,2703.36647397938,340.160395234044
0.0038187666094993,8.16826086956522,1.53928542000905,0.028669999999999973,16.3138016666667,0.02421300000000004,-72.53125,-58.5833371480306,-68.7562515258789,111.485752,0.0053849999999999,0.027965000000000018,16.3127116666667,0.023347000000000007,13.0937509536743,0.239583492279053,17.8875011444092,80.312542617321,0.011860909871757,0.10434499999999991,4.287590777076763,0.6629860000000001,-51.0937538146973,-53.67481353571236,-78.5062545776367,4.95116156943573,310.0,407.333343505859,560.0,0.027635000000000076,16.3122683333333,0.023022000000000098,-51.6875,-31.7708365122477,-50.4500022888184,0.028750000000000053,16.3138466666667,0.6629860000000001,-72.65625,-58.7187538146973,-78.5062545776367,1.22170850943893,0.90085711966295,1.31074276811369,-78.2116088867188,79.2363651132844,0.903954764546288,0.464173537857132,62.1176470588235,0.900112881859135,3.0,271.453414496852,302.441584743073,17,40,2171,6,23,54.7025,474.748713364109,484.797334799665,844.517391907387,2535.69964117587,3699.39039588146,487.312980455809
0.0356742414884892,34.7965384615385,0.575531927135099,0.10478999999999994,1.75953666666667,0.024869999999999948,-50.8125,-48.9895858764648,-52.5234394073486,342.28384,0.017055,0.10332000000000008,1.75777666666667,0.02357000000000009,21.1875019073486,15.3750006357829,21.4296889305115,344.68749165535,0.0512895882129669,0.11758000000000002,1.7679416666666699,0.54001375,-51.5000038146973,-50.8854192097982,-63.6796903610229,20.1737493108825,30.0000019073486,43.4583320617676,230.0,0.10289499999999996,1.7572800000000002,0.023218750000000066,-37.8437538146973,-34.6770846048991,-39.8125009536743,0.11758000000000002,1.7679416666666699,0.54001375,-51.5000038146973,-50.8854192097982,-63.6796903610229,2.32984108094318,2.0362405380782,2.3201498741366,-62.6112518310547,72.2461588803685,0.900143435275685,0.232946694405038,45.6666666666667,0.917057820778559,5.0,316.347128600609,361.254220154983,12,28,1138,4,16,58.8211,199.453400994753,349.610692763105,205.139316642047,1328.52723075607,971.721999016306,60.6212259273725
0.0164710840380032,70.415,0.213515309063173,0.32115000000000005,2.04601666666667,0.025539999999999896,-48.375,-48.5520833333333,-50.9062519073486,181.261088,0.055965,0.3185,2.04380666666667,0.023700000000000054,33.3125,37.6875012715658,33.34375,226.874992251396,0.0378647483885288,0.35365500000000005,2.07430166666667,0.7676375,-57.5312538146973,-56.0416666666667,-73.28125,29.9144457378022,50.0,50.625,660.0,0.3180050000000001,2.04333666666667,0.023285,-36.78125,-36.6145846048991,-41.9375,0.35365500000000005,2.07430166666667,0.7676375,-57.5312538146973,-56.0416666666667,-73.28125,3.03863621399531,3.08712683926282,3.11829820864033,-72.016357421875,82.6071896630191,0.883840142961525,0.491888285674861,41.2391304347826,0.751605673246341,7.0,374.790295546656,380.842487395082,23,53,2112,7,30,43.3028,436.236356195729,234.151438591341,328.484516407356,2429.70129889926,3790.08288882482,528.14496799971
