adaptation,avg_isi,f_i_curve_slope,fast_trough_t_long_square,fast_trough_t_ramp,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_v_ramp,fast_trough_v_short_square,input_resistance_mohm,latency,peak_t_long_square,peak_t_ramp,peak_t_short_square,peak_v_long_square,peak_v_ramp,peak_v_short_square,ri,sag,slow_trough_t_long_square,slow_trough_t_ramp,slow_trough_t_short_square,slow_trough_v_long_square,slow_trough_v_ramp,slow_trough_v_short_square,tau,threshold_i_long_square,threshold_i_ramp,threshold_i_short_square,threshold_t_long_square,threshold_t_ramp,threshold_t_short_square,threshold_v_long_square,threshold_v_ramp,threshold_v_short_square,trough_t_long_square,trough_t_ramp,trough_t_short_square,trough_v_long_square,trough_v_ramp,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,vrest
0.0309022487016476,71.6926923076923,0.185820913587812,0.31427000000000005,4.47155833333333,0.02549833333333007,-44.90625,-45.6041679382324,-49.4947923024495,177.432224,0.067105,0.31108500000000006,4.469215,0.023281666666669976,28.1250019073486,37.2395858764648,30.7395849227905,151.562571525574,0.0225339084863663,0.39783499999999994,4.524495,0.6032325000000001,-56.46875,-52.3125038146973,-80.0416679382324,17.4630409651184,70.0,111.208330790202,1060.0,0.31055999999999995,4.46878166666667,0.022879166666669892,-33.90625,-31.8229198455811,-36.6093762715658,0.39783499999999994,4.524495,0.6032325000000001,-56.46875,-52.3125038146973,-80.0416679382324,3.34763730866041,3.70488871538024,3.38922406631843,-79.0895767211914
0.0026794445855619,27.175,0.335919063457214,0.11192000000000002,6.3686,0.024667999999999912,-53.5000038146973,-52.2395858764648,-55.6750022888184,187.116976,0.00868,0.11031999999999997,6.36690666666667,0.023387999999999964,27.4062519073486,31.2291679382324,32.7000007629395,182.812377810478,0.117170937359333,0.2821560194174757,4.201268989411765,0.05245999999999995,-53.222635824703495,-54.00392525043364,-70.3875030517578,8.62924665817502,140.0,158.666666666667,390.0,0.10990000000000011,6.36648,0.02307999999999999,-37.3750038146973,-37.2291679382324,-42.1687522888184,0.11226000000000003,6.3722,0.05245999999999995,-53.6250038146973,-53.0000012715658,-70.3875030517578,2.50275636331646,2.62899549631702,2.56836759615387,-69.332763671875
0.0265142848006105,104.895,0.14,0.22507999999999995,4.40052,0.026056666666669948,-48.3125038146973,-47.5104204813639,-53.2656262715658,190.9028,0.07708,0.22063999999999995,4.3978,0.02347666666666992,35.3750038146973,39.5208346048991,43.2447942097982,100.000113248825,0.0492879934608936,0.25669999999999993,4.4433,0.46412862004882616,-55.2187538146973,-56.5312525431315,-73.89020261044614,15.8765245656567,170.0,109.375,1130.0,0.2201599999999999,4.39736666666667,0.023103333333329923,-34.9687538146973,-34.0416679382324,-47.8593775431315,0.25669999999999993,4.4433,0.4735100000000001,-55.2187538146973,-56.5312525431315,-76.9479179382324,4.07340003095822,4.07418039278322,4.33186798329192,-76.3190307617188
0.0192024243537816,112.095,0.121205357516906,0.32800000000000007,7.6876533333333406,0.02577600000000002,-46.34375,-45.9270871480306,-50.6312515258789,80.862096,0.09148,0.32524,7.68510666666667,0.02357600000000004,33.5625,36.8645846048991,36.2562507629395,87.1874615550041,0.0472240559756756,0.36154,7.72202666666667,0.6905479999999999,-56.1250038146973,-54.0104192097982,-79.3812530517578,19.2962646777149,190.0,191.625,1730.0,0.3247199999999999,7.6846,0.02313199999999993,-38.9687538146973,-37.8541679382324,-47.1562530517578,0.36154,7.72202666666667,0.6905479999999999,-56.1250038146973,-54.0104192097982,-79.3812530517578,3.66987014197864,3.52334597803049,3.81620598022092,-79.1463012695312
0.016399262850574,29.4224242424243,0.457671957671958,0.08986000000000005,2.004285,0.025395000000000056,-52.5000038146973,-53.0,-53.90625,341.928832,0.021625,0.08797999999999995,2.00173,0.023514999999999953,21.375,23.875,22.5,279.062509536743,0.101829849183559,0.09869499999999998,2.013765,0.1826000000000001,-53.71875,-54.1875038146973,-73.8437576293945,15.78023149214,50.0,49.5,390.0,0.08755000000000002,2.00128,0.023150000000000004,-40.8750038146973,-37.4375038146973,-39.25,0.09869499999999998,2.013765,0.1826000000000001,-53.71875,-54.1875038146973,-73.8437576293945,2.99437911380745,3.0846353901733,2.86569206733327,-73.481330871582
0.0132343550442258,42.5954545454545,0.2375,0.08054500000000009,2.02682,0.025570000000000093,-56.4062538146973,-54.0104179382324,-56.8437515258789,278.744,0.0244850000000001,0.07823500000000005,2.02408166666667,0.023474999999999913,31.2812519073486,31.1770833333333,34.2125007629395,238.90620470047,0.0037413970567286,0.08732000000000006,2.04088,0.46412862004882616,-59.0625,-58.8750025431315,-73.89020261044614,30.7977215081036,70.0,50.0833320617676,469.999969482422,0.07773999999999992,2.02354166666667,0.023069999999999924,-41.0,-37.8750025431315,-48.7562515258789,0.08732000000000006,2.04088,0.6249530000000001,-59.0625,-58.8750025431315,-71.95625,3.03964006567842,2.6986826089701,3.45864163589808,-71.8946838378906
0.0560033723889652,147.146666666667,0.113404255243856,0.3266199999999999,4.39145333333333,0.026488000000000067,-46.5,-46.7187538146973,-50.5562530517578,127.874992,0.08734,0.32133999999999996,4.38683333333333,0.023511999999999977,31.7812519073486,30.6250019073486,30.3250015258789,94.843789935112,0.0902289971709251,0.2821560194174757,4.43382,0.46412862004882616,-53.222635824703495,-55.7395846048991,-73.89020261044614,22.2667774867678,170.0,109.166666666667,1480.0,0.3208200000000001,4.38630666666667,0.02306800000000009,-35.1250038146973,-36.9479204813639,-44.1250030517578,0.35866,4.43382,0.484472,-54.5625,-55.7395846048991,-74.6812515258789,4.53059972371928,4.24541516338555,4.11460167575406,-74.0157928466797
0.0021163184579519,19.7222857142857,0.724734042553192,0.9624600000000001,17.2722066666667,0.02395999999999998,-58.78125,-59.5937525431315,-63.5187538146973,84.812208,0.29698,0.9617199999999999,17.2715266666667,0.02335200000000004,15.0000009536743,20.1875006357829,25.5187507629395,46.4061349630356,0.0071909199468791,0.2821560194174757,4.201268989411765,0.46412862004882616,-53.222635824703495,-54.00392525043364,-73.89020261044614,5.22483362401917,530.0,431.291666666667,1170.0,0.9613799999999999,17.2712066666667,0.023076000000000096,-34.9687538146973,-36.3020846048991,-49.2812507629395,0.96252,17.2722333333333,0.4251879999999999,-58.9375,-59.6562538146973,-80.7000045776367,1.29621554958271,1.35794579389376,1.47095826374523,-79.5007095336914
0.243220815433448,177.82,0.164285714091085,0.12277999999999989,2.72298666666667,0.025848000000000093,-46.40625,-47.8229204813639,-51.7375007629395,204.825392,0.0462800000000001,0.11935999999999991,2.71962666666667,0.02362400000000009,39.0,39.2083333333333,44.6875007629395,134.375393390656,0.0556851327419281,0.13402000000000003,2.74208666666667,0.46412862004882616,-51.0000038146973,-54.7187525431315,-73.89020261044614,20.9086614056802,170.0,67.5,630.0,0.1189,2.71916,0.023239999999999927,-35.59375,-33.9687512715658,-48.2062515258789,0.13402000000000003,2.74208666666667,0.47051200000000004,-51.0000038146973,-54.7187525431315,-69.68125,4.13693995801423,3.96287743811379,4.38510167609512,-68.9351959228516
0.05295690244323232,67.05879528795244,0.221169328508775,0.17152499999999993,2.0474075,0.025050000000000017,-51.0312538146973,-50.2656269073486,-52.7031269073486,214.56,0.124575,0.16948000000000008,2.0456325,0.023404999999999898,30.2500019073486,31.6093778610229,30.2031269073486,267.187505960464,0.0908984392881393,0.20015000000000005,2.076995,0.46412862004882616,-56.9062538146973,-56.4375038146973,-73.89020261044614,33.3699572091491,50.0,50.625,670.0,0.1690750000000001,2.0452275,0.023062499999999986,-36.7187538146973,-36.4843788146973,-42.0781288146973,0.20015000000000005,2.076995,0.5283599999999999,-56.9062538146973,-56.4375038146973,-80.0,3.19375941879805,3.04735213835886,3.15892217758596,-78.8587036132812
0.0127354027721803,46.165,0.284980613221687,0.22632000000000008,2.34422833333333,0.025060000000000082,-48.5,-47.8854179382324,-51.9437515258789,184.10248,0.05064,0.22451,2.34222833333333,0.02336999999999989,31.6875019073486,30.3229185740153,33.9937507629395,189.10713493824,0.0259323790669441,0.26329500000000006,2.375925,0.5082340000000001,-55.15625,-53.4479166666667,-78.3937530517578,22.8357900394465,59.9999961853027,58.0416666666667,608.0,0.22404000000000002,2.34175666666667,0.022988999999999926,-39.4375038146973,-36.53125,-41.4125007629395,0.26329500000000006,2.375925,0.5082340000000001,-55.15625,-53.4479166666667,-78.3937530517578,2.93783926901415,2.7680449576603,2.96731726726757,-77.3416595458984
0.0776338740937534,101.1325,0.138850174216028,0.07919999999999994,2.48100666666667,0.026103999999999905,-45.15625,-45.6666679382324,-48.7812515258789,265.36656,0.024,0.07601999999999998,2.47689333333333,0.02341199999999999,35.25,38.0104204813639,36.4812515258789,268.750011920929,0.0555575378239155,0.09406000000000003,2.50988,0.46412862004882616,-49.3125038146973,-52.0104179382324,-73.89020261044614,29.8217074422353,70.0,61.4166653951009,499.999969482422,0.0753600000000001,2.47618666666667,0.022860000000000102,-37.7500038146973,-35.2604179382324,-42.0375022888184,0.09406000000000003,2.50988,0.17312799999999995,-49.3125038146973,-52.0104179382324,-63.7250038146973,3.64753760110533,3.63320048641181,3.64873536688455,-63.1356811523438
0.0024407719676035,30.31,0.233942853688814,0.05011999999999994,5.41701333333333,0.027220000000000022,-51.4687538146973,-44.4166704813639,-55.8062515258789,372.231456,0.01156,0.04862000000000011,5.41222666666667,0.023487999999999953,28.1875019073486,10.5625003178914,6.8187502861023,246.71882390976,0.050867822021246,0.2821560194174757,5.42276,0.46412862004882616,-53.222635824703495,-46.7395871480306,-73.89020261044614,10.6195992685147,120.0,134.749997456868,469.999969482422,0.04821999999999993,5.41144,0.023076000000000096,-40.4062538146973,-30.4895858764648,-34.9062515258789,0.05025999999999997,5.42276,0.5492919999999999,-51.6562538146973,-46.7395871480306,-77.1437530517578,2.71978077175859,2.65781090205129,2.05136198207088,-76.0806579589844
0.0022010359155805,9.29995283018868,1.44814826338033,0.03998999999999997,4.50691833333333,0.023605000000000098,-56.2812538146973,-52.2500038146973,-58.0500022888184,322.789664,0.00686,0.039269999999999916,4.50592666666667,0.022963999999999984,16.5,6.72916698455811,20.7812507629395,199.375078082085,0.0625853687524796,0.2821560194174757,4.201268989411765,0.6109180000000001,-53.222635824703495,-54.00392525043364,-73.1000030517578,7.07945888083279,100.0,112.124997456868,340.0,0.03898500000000005,4.50556,0.022718000000000016,-32.4375038146973,-27.8229185740153,-43.4312507629395,0.040059999999999985,4.507075,0.6109180000000001,-56.4062538146973,-52.4479192097982,-73.1000030517578,1.21347151976139,1.01043308868056,1.43461610779118,-72.1663436889648
0.0086373954705304,21.2926086956522,1.35273640367101,0.046640000000000015,5.18208666666667,0.02391999999999994,-59.4062538146973,-53.5937538146973,-60.0625028610229,287.490688,0.01206,0.04605999999999999,5.18132666666667,0.023390000000000022,31.34375,18.5625015894572,37.2656269073486,199.687615036964,0.0122475465759635,0.2821560194174757,4.201268989411765,0.46412862004882616,-53.222635824703495,-54.00392525043364,-73.89020261044614,9.22453615454271,80.0,129.000002543132,280.0,0.04577999999999993,5.18094666666667,0.023109999999999964,-36.1875038146973,-31.0833358764648,-44.5703153610229,0.046640000000000015,5.18212,0.5554250000000001,-59.4062538146973,-53.6770858764648,-68.2343788146973,1.22934306987998,1.08700743429366,1.27813720063155,-67.5269393920898
0.0917128298824795,73.97625,0.208169305908886,0.15356999999999998,4.29057666666667,0.02477499999999999,-48.8437538146973,-50.7083371480306,-49.9375012715658,139.61728,0.0443,0.15214499999999997,4.28911,0.02352333333333001,37.4375038146973,41.6250025431315,33.6875025431315,193.281248211861,0.089340902864933,0.21498499999999998,4.32119,0.5329250000000001,-53.4687538146973,-53.3645871480306,-78.0208409627279,25.6384772994407,100.0,106.75,700.0,0.15172999999999992,4.28870166666667,0.023168333333329905,-37.5937538146973,-37.6562525431315,-42.2395846048991,0.21498499999999998,4.32119,0.5329250000000001,-53.4687538146973,-53.3645871480306,-78.0208409627279,2.81076460518079,3.02549077220039,2.81720989411301,-77.274543762207
